X.14,X.12,X.6,X.2,X.1,X.8,X.3,X.13,X.4,X.7,X.5,X.10,X.11
0.0,40.0,0.46153846153846156,226802.0,0.42857142857142855,0.5,0.3333333333333333,0.9487179487179487,7.0,0.6000000000000001,0.6666666666666666,0.0,0.0
0.0,50.0,0.3076923076923077,89814.0,0.42857142857142855,1.0,0.7333333333333333,0.9487179487179487,9.0,0.0,0.3333333333333333,0.0,0.0
1.0,40.0,0.7692307692307693,336951.0,0.14285714285714285,1.0,0.4666666666666667,0.9487179487179487,12.0,0.0,0.3333333333333333,0.0,0.0
1.0,40.0,0.46153846153846156,160323.0,0.42857142857142855,0.5,1.0,0.9487179487179487,10.0,0.0,0.3333333333333333,7688.0,0.0
0.0,30.0,0.4617795524749562,103497.0,0.44529311920620457,1.0,1.0,0.9487179487179487,10.0,0.6000000000000001,0.6666666666666666,0.0,0.0
0.0,30.0,0.5384615384615385,198693.0,0.42857142857142855,1.0,0.26666666666666666,0.9487179487179487,6.0,0.2,0.6666666666666666,0.0,0.0
0.0,40.0,0.4617795524749562,227026.0,0.44529311920620457,0.5,0.7333333333333333,0.9487179487179487,9.0,0.8,0.6666666666666666,0.0,0.0
1.0,32.0,0.6923076923076923,104626.0,0.7142857142857142,1.0,0.9333333333333333,0.9487179487179487,15.0,0.0,0.3333333333333333,3103.0,0.0
0.0,40.0,0.5384615384615385,369667.0,0.42857142857142855,1.0,1.0,0.9487179487179487,10.0,0.8,0.6666666666666666,0.0,0.0
0.0,10.0,0.15384615384615385,104996.0,0.42857142857142855,1.0,0.13333333333333333,0.9487179487179487,4.0,0.0,0.3333333333333333,0.0,0.0
1.0,40.0,0.46153846153846156,184454.0,0.42857142857142855,1.0,0.7333333333333333,0.9487179487179487,9.0,0.0,0.3333333333333333,6418.0,0.0
0.0,40.0,0.0,212465.0,0.0,1.0,0.6,0.9487179487179487,13.0,0.0,0.3333333333333333,0.0,0.0
